epoch, wall, LR,training_loss_f,training_loss,training_f_mae,training_f_rmse,validation_loss_f,validation_loss,validation_f_mae,validation_f_rmse
        94,   15.109,     0.01,        0.0077125,        0.0077125,       0.0285,       0.0418,          0.35256,          0.35256,        0.131,        0.282
        95,   15.259,     0.01,        0.0054239,        0.0054239,       0.0243,        0.035,          0.36438,          0.36438,        0.131,        0.287
        96,   15.410,     0.01,        0.0083417,        0.0083417,       0.0281,       0.0434,          0.35395,          0.35395,         0.13,        0.283
        97,   15.562,     0.01,        0.0077158,        0.0077158,       0.0279,       0.0418,          0.36288,          0.36288,        0.131,        0.286
        98,   15.716,     0.01,        0.0080954,        0.0080954,        0.029,       0.0428,          0.34995,          0.34995,        0.124,        0.281
        99,   15.868,     0.01,        0.0066483,        0.0066483,       0.0251,       0.0388,          0.34963,          0.34963,        0.129,        0.281
       100,   16.023,     0.01,        0.0052487,        0.0052487,       0.0246,       0.0344,          0.37268,          0.37268,        0.127,         0.29
       101,   16.182,     0.01,        0.0068121,        0.0068121,       0.0287,       0.0392,          0.34664,          0.34664,        0.127,         0.28
       102,   16.336,     0.01,        0.0070816,        0.0070816,       0.0269,         0.04,          0.34636,          0.34636,        0.127,         0.28
       103,   16.490,     0.01,         0.008863,         0.008863,       0.0322,       0.0448,          0.35383,          0.35383,        0.125,        0.283
       104,   16.643,     0.01,        0.0083248,        0.0083248,       0.0291,       0.0434,          0.34497,          0.34497,         0.13,        0.279
       105,   16.817,     0.01,        0.0082525,        0.0082525,       0.0307,       0.0432,          0.35857,          0.35857,        0.127,        0.285
       106,   16.971,     0.01,        0.0083444,        0.0083444,       0.0314,       0.0434,          0.35834,          0.35834,        0.131,        0.285
       107,   17.125,     0.01,        0.0073241,        0.0073241,       0.0299,       0.0407,          0.35589,          0.35589,        0.127,        0.284
       108,   17.277,     0.01,        0.0047935,        0.0047935,       0.0234,       0.0329,          0.36659,          0.36659,        0.126,        0.288
       109,   17.437,     0.01,        0.0058126,        0.0058126,       0.0258,       0.0363,          0.34583,          0.34583,        0.126,         0.28
       110,   17.590,     0.01,        0.0058428,        0.0058428,       0.0238,       0.0363,          0.35163,          0.35163,        0.126,        0.282
       111,   17.743,     0.01,        0.0073229,        0.0073229,       0.0294,       0.0407,          0.39127,          0.39127,         0.13,        0.297
       112,   17.911,     0.01,        0.0097921,        0.0097921,       0.0326,       0.0471,          0.36469,          0.36469,        0.126,        0.287
       113,   18.069,     0.01,        0.0072457,        0.0072457,       0.0258,       0.0405,          0.34453,          0.34453,        0.124,        0.279
       114,   18.226,     0.01,        0.0043051,        0.0043051,        0.022,       0.0312,          0.35395,          0.35395,        0.122,        0.283
       115,   18.383,     0.01,        0.0042284,        0.0042284,       0.0202,       0.0309,          0.36448,          0.36448,        0.125,        0.287
       116,   18.537,     0.01,        0.0050482,        0.0050482,       0.0231,       0.0338,          0.36119,          0.36119,        0.126,        0.286
       117,   18.689,     0.01,        0.0052953,        0.0052953,       0.0238,       0.0346,          0.35857,          0.35857,        0.124,        0.285
       118,   18.839,     0.01,        0.0046284,        0.0046284,        0.023,       0.0323,          0.33946,          0.33946,        0.123,        0.277
       119,   18.989,     0.01,        0.0058428,        0.0058428,       0.0239,       0.0363,          0.37055,          0.37055,        0.128,        0.289
       120,   19.142,     0.01,        0.0051918,        0.0051918,       0.0253,       0.0343,          0.35501,          0.35501,        0.126,        0.283
       121,   19.302,     0.01,        0.0048733,        0.0048733,        0.022,       0.0332,          0.35915,          0.35915,        0.125,        0.285
       122,   19.471,     0.01,        0.0035031,        0.0035031,       0.0201,       0.0281,          0.35911,          0.35911,        0.122,        0.285
       123,   19.630,     0.01,        0.0048053,        0.0048053,       0.0219,        0.033,          0.35802,          0.35802,        0.127,        0.285
       124,   19.789,     0.01,        0.0045704,        0.0045704,       0.0229,       0.0321,          0.36363,          0.36363,        0.132,        0.287
       125,   19.947,     0.01,        0.0067731,        0.0067731,       0.0265,       0.0391,          0.36982,          0.36982,        0.127,        0.289
       126,   20.136,     0.01,        0.0080195,        0.0080195,       0.0287,       0.0426,          0.33943,          0.33943,        0.124,        0.277
       127,   20.443,     0.01,        0.0057896,        0.0057896,       0.0246,       0.0362,          0.36976,          0.36976,         0.13,        0.289
       128,   20.692,     0.01,        0.0053708,        0.0053708,       0.0251,       0.0348,           0.3616,           0.3616,        0.129,        0.286
       129,   20.854,     0.01,        0.0065353,        0.0065353,       0.0269,       0.0384,          0.36544,          0.36544,        0.122,        0.287
       130,   21.018,     0.01,        0.0045096,        0.0045096,       0.0219,       0.0319,          0.34455,          0.34455,        0.126,        0.279
       131,   21.184,     0.01,        0.0057098,        0.0057098,       0.0232,       0.0359,          0.36423,          0.36423,        0.131,        0.287
       132,   21.403,     0.01,        0.0077454,        0.0077454,        0.027,       0.0418,          0.36387,          0.36387,        0.132,        0.287
       133,   21.569,     0.01,        0.0082614,        0.0082614,         0.03,       0.0432,          0.35681,          0.35681,        0.138,        0.284
       134,   21.733,     0.01,         0.016635,         0.016635,         0.04,       0.0613,          0.35069,          0.35069,        0.136,        0.282
       135,   21.897,     0.01,         0.031487,         0.031487,       0.0596,       0.0844,          0.39168,          0.39168,        0.143,        0.298
       136,   22.062,     0.01,         0.021956,         0.021956,       0.0504,       0.0705,          0.32484,          0.32484,         0.15,        0.271
       137,   22.230,     0.01,         0.034108,         0.034108,       0.0602,       0.0878,          0.41944,          0.41944,        0.146,        0.308
       138,   22.397,     0.01,         0.050341,         0.050341,       0.0618,        0.107,          0.44229,          0.44229,        0.157,        0.316
       139,   22.555,     0.01,         0.024355,         0.024355,       0.0561,       0.0742,          0.33103,          0.33103,        0.138,        0.274
       140,   22.717,     0.01,          0.01477,          0.01477,       0.0438,       0.0578,          0.37818,          0.37818,        0.135,        0.292
       141,   22.877,     0.01,         0.013532,         0.013532,       0.0396,       0.0553,          0.36803,          0.36803,        0.139,        0.288
       142,   23.061,     0.01,         0.017461,         0.017461,       0.0417,       0.0628,          0.35767,          0.35767,        0.129,        0.284
       143,   23.224,     0.01,         0.019728,         0.019728,       0.0438,       0.0668,          0.34782,          0.34782,        0.126,         0.28
       144,   23.411,     0.01,          0.01905,          0.01905,       0.0452,       0.0656,          0.35927,          0.35927,        0.135,        0.285
       145,   23.581,     0.01,         0.012959,         0.012959,       0.0376,       0.0541,          0.34367,          0.34367,        0.136,        0.279
       146,   23.759,     0.01,         0.015796,         0.015796,       0.0341,       0.0598,          0.37555,          0.37555,        0.138,        0.291
       147,   23.956,     0.01,         0.019788,         0.019788,        0.041,       0.0669,          0.36724,          0.36724,        0.129,        0.288
       148,   24.218,     0.01,         0.012204,         0.012204,       0.0333,       0.0525,          0.33676,          0.33676,        0.128,        0.276
       149,   24.373,     0.01,        0.0045359,        0.0045359,       0.0224,        0.032,          0.37391,          0.37391,        0.128,        0.291
       150,   24.564,     0.01,        0.0068569,        0.0068569,       0.0269,       0.0394,          0.36989,          0.36989,        0.126,        0.289
       151,   24.772,     0.01,        0.0056724,        0.0056724,       0.0255,       0.0358,          0.35106,          0.35106,        0.129,        0.282
       152,   25.075,     0.01,        0.0098457,        0.0098457,       0.0292,       0.0472,          0.34762,          0.34762,        0.126,         0.28
       153,   25.279,     0.01,         0.010512,         0.010512,       0.0318,       0.0487,          0.38278,          0.38278,        0.131,        0.294
       154,   25.465,     0.01,         0.012518,         0.012518,       0.0377,       0.0532,          0.36326,          0.36326,        0.133,        0.287
       155,   25.644,     0.01,        0.0081347,        0.0081347,       0.0306,       0.0429,          0.36836,          0.36836,        0.136,        0.289
       156,   25.829,     0.01,         0.011234,         0.011234,        0.036,       0.0504,           0.3812,           0.3812,        0.136,        0.294
       157,   26.039,     0.01,          0.01244,          0.01244,       0.0367,        0.053,          0.36821,          0.36821,        0.131,        0.289
       158,   26.511,     0.01,         0.010881,         0.010881,       0.0342,       0.0496,           0.3528,           0.3528,        0.128,        0.282
       159,   26.768,     0.01,         0.007886,         0.007886,       0.0298,       0.0422,          0.36379,          0.36379,        0.126,        0.287
       160,   27.013,     0.01,        0.0043484,        0.0043484,       0.0194,       0.0314,          0.35246,          0.35246,        0.124,        0.282
       161,   27.218,     0.01,        0.0043914,        0.0043914,       0.0203,       0.0315,          0.37116,          0.37116,        0.129,         0.29
       162,   27.419,     0.01,        0.0047568,        0.0047568,       0.0229,       0.0328,          0.38355,          0.38355,        0.126,        0.294
       163,   27.656,     0.01,        0.0057267,        0.0057267,       0.0239,        0.036,          0.36528,          0.36528,        0.126,        0.287
       164,   27.864,     0.01,        0.0036073,        0.0036073,       0.0191,       0.0286,          0.35428,          0.35428,        0.127,        0.283
       165,   28.074,     0.01,         0.007506,         0.007506,        0.027,       0.0412,          0.36822,          0.36822,        0.126,        0.289
       166,   28.248,     0.01,        0.0046305,        0.0046305,       0.0213,       0.0324,          0.38506,          0.38506,        0.129,        0.295
       167,   28.422,     0.01,        0.0065496,        0.0065496,       0.0247,       0.0385,          0.36519,          0.36519,        0.128,        0.287
       168,   28.612,     0.01,        0.0049128,        0.0049128,       0.0226,       0.0333,          0.35491,          0.35491,        0.125,        0.283
