epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       714, 4615.746,    0.005,       7.2444e-05,         3.66e-07,        7.281e-05,        0.201,        0.261,        0.165,        0.243,        0.204,        0.211,        0.308,        0.259,        0.238,       0.0158,       0.00033099,        5.358e-08,       0.00033105,        0.366,        0.557,        0.233,        0.519,        0.376,        0.354,        0.722,        0.538,        0.083,      0.00553
       715, 4622.882,    0.005,       6.3955e-05,        3.302e-07,       6.4285e-05,        0.188,        0.245,        0.151,        0.231,        0.191,        0.193,        0.293,        0.243,        0.207,       0.0138,       0.00033098,       5.3465e-08,       0.00033104,        0.366,        0.557,        0.233,        0.519,        0.376,        0.354,        0.722,        0.538,       0.0831,      0.00554
       716, 4630.276,    0.005,       6.0717e-05,       2.4458e-07,       6.0962e-05,        0.185,        0.239,        0.148,        0.227,        0.187,        0.188,        0.286,        0.237,        0.177,       0.0118,       0.00033076,       5.3446e-08,       0.00033082,        0.366,        0.557,        0.233,        0.519,        0.376,        0.354,        0.722,        0.538,       0.0831,      0.00554
       717, 4638.209,    0.005,       5.8389e-05,       1.5401e-07,       5.8543e-05,        0.179,        0.234,         0.14,        0.223,        0.181,        0.179,        0.284,        0.231,        0.143,      0.00953,       0.00033074,       5.3267e-08,        0.0003308,        0.366,        0.557,        0.233,        0.518,        0.376,        0.353,        0.722,        0.538,       0.0827,      0.00551
       718, 4646.391,    0.005,       6.5558e-05,        1.439e-07,       6.5701e-05,         0.19,        0.248,        0.148,        0.238,        0.193,        0.188,        0.302,        0.245,        0.144,      0.00958,       0.00033062,       5.3656e-08,       0.00033067,        0.366,        0.557,        0.233,        0.518,        0.376,        0.354,        0.722,        0.538,       0.0833,      0.00555
       719, 4653.942,    0.005,       6.7441e-05,       8.9414e-08,        6.753e-05,        0.189,        0.251,        0.142,        0.244,        0.193,        0.181,        0.313,        0.247,        0.109,      0.00725,       0.00033088,       5.3644e-08,       0.00033093,        0.366,        0.557,        0.233,        0.518,        0.375,        0.354,        0.722,        0.538,       0.0831,      0.00554
       720, 4661.474,    0.005,       6.6037e-05,       2.4466e-07,       6.6282e-05,         0.19,        0.249,        0.146,         0.24,        0.193,        0.186,        0.306,        0.246,        0.185,       0.0123,       0.00033068,       5.3596e-08,       0.00033073,        0.366,        0.557,        0.233,        0.518,        0.375,        0.354,        0.722,        0.538,        0.083,      0.00553
       721, 4668.519,    0.005,       6.7597e-05,       1.3769e-07,       6.7735e-05,         0.19,        0.252,        0.143,        0.245,        0.194,        0.182,        0.313,        0.247,        0.137,      0.00913,       0.00033004,       5.3187e-08,       0.00033009,        0.366,        0.556,        0.233,        0.517,        0.375,        0.353,        0.721,        0.537,       0.0833,      0.00555
       722, 4675.458,    0.005,       6.4781e-05,       1.6537e-07,       6.4947e-05,        0.187,        0.246,        0.142,        0.239,         0.19,        0.181,        0.304,        0.243,        0.157,       0.0104,       0.00033008,       5.3233e-08,       0.00033014,        0.366,        0.556,        0.233,        0.518,        0.375,        0.353,        0.721,        0.537,       0.0831,      0.00554
       723, 4682.424,    0.005,       5.8117e-05,       1.0926e-07,       5.8227e-05,        0.179,        0.233,         0.14,        0.223,        0.181,        0.181,        0.282,        0.231,        0.121,      0.00806,       0.00033058,       5.3245e-08,       0.00033063,        0.366,        0.557,        0.233,        0.518,        0.375,        0.354,        0.722,        0.538,       0.0831,      0.00554
       724, 4689.583,    0.005,        5.854e-05,       2.4713e-07,       5.8787e-05,        0.181,        0.234,        0.148,        0.218,        0.183,        0.188,        0.278,        0.233,        0.186,       0.0124,       0.00032991,       5.3035e-08,       0.00032997,        0.366,        0.556,        0.233,        0.517,        0.375,        0.354,        0.721,        0.537,       0.0831,      0.00554
       725, 4696.874,    0.005,         5.55e-05,       3.6417e-07,       5.5864e-05,        0.176,        0.228,        0.142,        0.215,        0.179,        0.181,        0.272,        0.227,        0.239,       0.0159,       0.00033021,       5.3129e-08,       0.00033026,        0.366,        0.556,        0.233,        0.517,        0.375,        0.353,        0.722,        0.538,        0.083,      0.00553
       726, 4704.186,    0.005,       6.0266e-05,       1.7857e-07,       6.0444e-05,         0.18,        0.238,        0.141,        0.225,        0.183,         0.18,         0.29,        0.235,        0.156,       0.0104,       0.00032998,       5.3201e-08,       0.00033003,        0.366,        0.556,        0.233,        0.517,        0.375,        0.353,        0.721,        0.537,       0.0829,      0.00553
       727, 4711.170,    0.005,       7.0883e-05,       1.4093e-07,       7.1024e-05,        0.197,        0.258,        0.153,        0.247,          0.2,        0.197,        0.313,        0.255,        0.141,      0.00941,       0.00032964,       5.3388e-08,        0.0003297,        0.365,        0.556,        0.233,        0.517,        0.375,        0.353,        0.721,        0.537,       0.0835,      0.00556
       728, 4719.318,    0.005,       6.3354e-05,       9.5686e-08,        6.345e-05,        0.185,        0.244,        0.143,        0.233,        0.188,        0.182,        0.299,        0.241,         0.11,       0.0073,       0.00032974,         5.27e-08,        0.0003298,        0.365,        0.556,        0.232,        0.516,        0.374,        0.353,        0.721,        0.537,       0.0828,      0.00552
       729, 4726.878,    0.005,       6.4717e-05,       2.2231e-07,       6.4939e-05,        0.188,        0.246,        0.148,        0.234,        0.191,        0.189,        0.299,        0.244,        0.184,       0.0123,       0.00032922,       5.2786e-08,       0.00032927,        0.365,        0.556,        0.232,        0.516,        0.374,        0.353,        0.721,        0.537,       0.0828,      0.00552
       730, 4734.453,    0.005,        6.879e-05,       1.7705e-07,       6.8967e-05,        0.195,        0.254,        0.149,        0.248,        0.199,         0.19,        0.311,        0.251,        0.159,       0.0106,       0.00032959,       5.2459e-08,       0.00032965,        0.365,        0.556,        0.232,        0.516,        0.374,        0.353,        0.721,        0.537,       0.0826,      0.00551
       731, 4742.256,    0.005,       6.2999e-05,       2.3626e-07,       6.3235e-05,        0.187,        0.243,        0.151,        0.229,         0.19,        0.192,        0.291,        0.241,        0.187,       0.0125,       0.00032899,       5.2467e-08,       0.00032904,        0.365,        0.555,        0.232,        0.516,        0.374,        0.353,         0.72,        0.537,       0.0824,       0.0055
       732, 4750.229,    0.005,       5.6118e-05,        4.067e-07,       5.6525e-05,        0.176,        0.229,        0.142,        0.216,        0.179,        0.182,        0.274,        0.228,        0.232,       0.0155,       0.00032919,       5.2734e-08,       0.00032924,        0.365,        0.556,        0.232,        0.516,        0.374,        0.353,        0.721,        0.537,       0.0826,      0.00551
       733, 4757.896,    0.005,       5.6006e-05,       1.1908e-07,       5.6125e-05,        0.175,        0.229,        0.134,        0.223,        0.178,         0.17,        0.282,        0.226,        0.129,      0.00862,        0.0003293,       5.2608e-08,       0.00032936,        0.365,        0.556,        0.232,        0.516,        0.374,        0.352,        0.721,        0.537,       0.0827,      0.00552
       734, 4764.975,    0.005,       5.4993e-05,       1.8278e-07,       5.5175e-05,        0.175,        0.227,        0.138,        0.217,        0.178,        0.179,        0.272,        0.225,        0.163,       0.0109,         0.000329,       5.2882e-08,       0.00032905,        0.365,        0.555,        0.232,        0.516,        0.374,        0.352,         0.72,        0.536,       0.0828,      0.00552
       735, 4771.812,    0.005,       5.4454e-05,       2.5164e-07,       5.4706e-05,        0.171,        0.226,        0.136,        0.212,        0.174,        0.175,        0.273,        0.224,        0.193,       0.0129,       0.00032938,       5.3148e-08,       0.00032943,        0.365,        0.556,        0.232,        0.516,        0.374,        0.352,        0.721,        0.537,       0.0828,      0.00552
       736, 4778.135,    0.005,       5.6421e-05,       9.8662e-08,       5.6519e-05,        0.177,         0.23,        0.139,         0.22,        0.179,        0.177,        0.279,        0.228,        0.121,      0.00807,        0.0003292,       5.3352e-08,       0.00032926,        0.365,        0.556,        0.232,        0.516,        0.374,        0.352,        0.721,        0.537,       0.0828,      0.00552
       737, 4784.747,    0.005,       5.5597e-05,       9.6256e-08,       5.5693e-05,        0.176,        0.228,        0.141,        0.216,        0.178,         0.18,        0.273,        0.227,       0.0972,      0.00648,       0.00032917,       5.3553e-08,       0.00032922,        0.364,        0.556,        0.232,        0.516,        0.374,        0.352,        0.721,        0.537,       0.0826,      0.00551
       738, 4791.329,    0.005,       6.3148e-05,       9.1583e-08,        6.324e-05,        0.185,        0.243,        0.139,        0.237,        0.188,        0.178,        0.301,         0.24,        0.114,      0.00759,       0.00032845,       5.3344e-08,       0.00032851,        0.364,        0.555,        0.232,        0.516,        0.374,        0.352,         0.72,        0.536,       0.0826,      0.00551
       739, 4798.370,    0.005,       5.5968e-05,       1.5798e-07,       5.6126e-05,        0.176,        0.229,        0.139,        0.218,        0.179,        0.179,        0.276,        0.227,        0.147,      0.00983,       0.00032798,       5.3517e-08,       0.00032803,        0.364,        0.555,        0.232,        0.515,        0.374,        0.352,        0.719,        0.536,       0.0828,      0.00552
       740, 4805.526,    0.005,       6.1744e-05,       3.2979e-07,       6.2074e-05,        0.183,        0.241,        0.143,         0.23,        0.186,        0.184,        0.292,        0.238,         0.22,       0.0146,       0.00032764,       5.3062e-08,       0.00032769,        0.364,        0.554,        0.232,        0.515,        0.374,        0.352,        0.719,        0.535,       0.0825,       0.0055
       741, 4812.371,    0.005,       6.0892e-05,       2.2029e-07,       6.1112e-05,        0.182,        0.239,        0.142,        0.228,        0.185,        0.181,        0.291,        0.236,         0.18,        0.012,       0.00032807,       5.2832e-08,       0.00032812,        0.364,        0.555,        0.232,        0.516,        0.374,        0.352,         0.72,        0.536,       0.0822,      0.00548
       742, 4819.314,    0.005,       5.6936e-05,       2.0851e-07,       5.7145e-05,        0.179,        0.231,        0.147,        0.216,        0.182,        0.187,        0.273,         0.23,        0.176,       0.0117,       0.00032791,       5.2953e-08,       0.00032796,        0.364,        0.554,        0.232,        0.515,        0.374,        0.352,        0.719,        0.536,       0.0821,      0.00547
       743, 4825.995,    0.005,       5.8757e-05,       2.8558e-07,       5.9042e-05,        0.178,        0.235,        0.138,        0.225,        0.181,        0.177,        0.287,        0.232,        0.209,        0.014,       0.00032797,       5.2599e-08,       0.00032803,        0.364,        0.555,        0.232,        0.515,        0.373,        0.352,        0.719,        0.536,        0.082,      0.00547
       744, 4832.668,    0.005,        5.799e-05,        1.208e-07,        5.811e-05,        0.178,        0.233,        0.144,        0.218,        0.181,        0.184,        0.279,        0.232,         0.13,      0.00864,       0.00032795,       5.2545e-08,       0.00032801,        0.364,        0.555,        0.231,        0.515,        0.373,        0.351,         0.72,        0.536,       0.0821,      0.00547
       745, 4839.513,    0.005,       5.5133e-05,       2.3193e-07,       5.5365e-05,        0.176,        0.227,        0.148,        0.208,        0.178,        0.188,        0.265,        0.227,        0.182,       0.0121,       0.00032808,       5.3098e-08,       0.00032814,        0.364,        0.555,        0.231,        0.515,        0.373,        0.351,         0.72,        0.536,       0.0823,      0.00549
       746, 4846.197,    0.005,       6.2224e-05,       2.0459e-07,       6.2429e-05,        0.185,        0.242,         0.14,        0.235,        0.188,         0.18,        0.296,        0.238,        0.178,       0.0119,       0.00032775,        5.271e-08,        0.0003278,        0.364,        0.554,        0.231,        0.515,        0.373,        0.351,        0.719,        0.535,       0.0822,      0.00548
       747, 4852.651,    0.005,       5.7781e-05,       2.8274e-07,       5.8063e-05,        0.178,        0.233,        0.141,        0.221,        0.181,        0.179,        0.282,        0.231,        0.201,       0.0134,       0.00032764,       5.2249e-08,       0.00032769,        0.364,        0.554,        0.231,        0.515,        0.373,        0.352,        0.719,        0.535,       0.0819,      0.00546
       748, 4859.571,    0.005,       5.7456e-05,       1.6287e-07,       5.7618e-05,        0.179,        0.232,        0.139,        0.224,        0.181,        0.179,        0.281,         0.23,        0.154,       0.0103,       0.00032749,       5.2513e-08,       0.00032754,        0.364,        0.554,        0.231,        0.515,        0.373,        0.352,        0.719,        0.535,        0.082,      0.00547
       749, 4866.146,    0.005,       6.3221e-05,       1.0841e-07,       6.3329e-05,        0.186,        0.243,        0.144,        0.234,        0.189,        0.185,        0.296,        0.241,        0.132,      0.00877,       0.00032739,       5.2755e-08,       0.00032744,        0.364,        0.554,        0.232,        0.514,        0.373,        0.352,        0.718,        0.535,       0.0822,      0.00548
       750, 4873.002,    0.005,       5.4839e-05,       5.9677e-08,       5.4899e-05,        0.173,        0.227,        0.131,        0.221,        0.176,        0.168,         0.28,        0.224,       0.0973,      0.00649,       0.00032695,       5.2575e-08,         0.000327,        0.363,        0.554,        0.231,        0.514,        0.373,        0.352,        0.718,        0.535,       0.0822,      0.00548
       751, 4879.546,    0.005,       5.2969e-05,       1.0703e-07,       5.3076e-05,        0.171,        0.223,        0.134,        0.214,        0.174,        0.172,         0.27,        0.221,        0.123,      0.00821,       0.00032685,        5.297e-08,        0.0003269,        0.363,        0.554,        0.231,        0.514,        0.373,        0.352,        0.718,        0.535,       0.0823,      0.00548
       752, 4886.362,    0.005,       5.2064e-05,       1.3539e-07,       5.2199e-05,        0.169,        0.221,        0.134,         0.21,        0.172,         0.17,        0.267,        0.219,         0.14,      0.00932,       0.00032658,       5.2841e-08,       0.00032663,        0.363,        0.553,        0.231,        0.514,        0.372,        0.352,        0.717,        0.535,       0.0824,      0.00549
       753, 4893.338,    0.005,       4.9994e-05,       5.1755e-08,       5.0046e-05,        0.165,        0.217,        0.128,        0.208,        0.168,        0.165,        0.263,        0.214,       0.0858,      0.00572,       0.00032667,       5.2725e-08,       0.00032672,        0.363,        0.553,        0.231,        0.514,        0.372,        0.351,        0.718,        0.535,       0.0824,      0.00549
       754, 4900.454,    0.005,       5.2492e-05,        6.157e-08,       5.2554e-05,        0.169,        0.222,        0.131,        0.213,        0.172,        0.168,        0.271,        0.219,       0.0896,      0.00597,       0.00032603,       5.2707e-08,       0.00032608,        0.363,        0.553,        0.231,        0.514,        0.372,        0.351,        0.717,        0.534,       0.0824,      0.00549
       755, 4907.184,    0.005,       5.7925e-05,       1.6349e-07,       5.8088e-05,         0.18,        0.233,        0.146,        0.219,        0.182,        0.185,        0.278,        0.231,        0.151,         0.01,       0.00032599,       5.2322e-08,       0.00032604,        0.363,        0.553,        0.231,        0.514,        0.372,        0.351,        0.717,        0.534,       0.0822,      0.00548
       756, 4914.316,    0.005,       5.1162e-05,       9.3996e-08,       5.1256e-05,        0.167,        0.219,        0.133,        0.206,        0.169,        0.171,        0.264,        0.217,        0.116,       0.0077,       0.00032604,       5.2587e-08,       0.00032609,        0.363,        0.553,        0.231,        0.514,        0.372,         0.35,        0.717,        0.534,       0.0824,      0.00549
       757, 4921.255,    0.005,       5.7454e-05,       7.2987e-08,       5.7527e-05,        0.177,        0.232,        0.135,        0.225,         0.18,        0.172,        0.285,        0.229,       0.0964,      0.00643,       0.00032617,       5.2789e-08,       0.00032622,        0.363,        0.553,         0.23,        0.514,        0.372,         0.35,        0.718,        0.534,       0.0822,      0.00548
       758, 4928.338,    0.005,       5.8504e-05,       2.4352e-07,       5.8748e-05,        0.181,        0.234,        0.146,         0.22,        0.183,        0.185,         0.28,        0.233,        0.179,       0.0119,       0.00032586,       5.2919e-08,       0.00032591,        0.363,        0.553,         0.23,        0.514,        0.372,         0.35,        0.717,        0.534,       0.0822,      0.00548
       759, 4935.204,    0.005,       5.5033e-05,       9.4871e-08,       5.5128e-05,        0.174,        0.227,        0.134,        0.219,        0.177,        0.171,        0.278,        0.224,        0.117,      0.00779,       0.00032557,        5.251e-08,       0.00032562,        0.362,        0.553,         0.23,        0.513,        0.372,         0.35,        0.717,        0.534,        0.082,      0.00547
       760, 4942.287,    0.005,       5.0259e-05,       7.2298e-08,       5.0331e-05,        0.167,        0.217,        0.134,        0.204,        0.169,        0.172,        0.259,        0.216,       0.0962,      0.00641,       0.00032558,       5.2251e-08,       0.00032563,        0.362,        0.553,         0.23,        0.513,        0.372,         0.35,        0.717,        0.534,       0.0819,      0.00546
       761, 4949.123,    0.005,       5.3266e-05,       1.1013e-07,       5.3376e-05,        0.171,        0.223,        0.134,        0.213,        0.174,        0.171,        0.271,        0.221,        0.119,      0.00794,       0.00032591,       5.1799e-08,       0.00032597,        0.362,        0.553,         0.23,        0.513,        0.372,         0.35,        0.717,        0.534,       0.0814,      0.00543
       762, 4955.893,    0.005,       5.7937e-05,       1.8235e-07,        5.812e-05,        0.179,        0.233,        0.139,        0.225,        0.182,        0.177,        0.284,         0.23,        0.157,       0.0105,       0.00032585,       5.1848e-08,        0.0003259,        0.362,        0.553,         0.23,        0.513,        0.372,         0.35,        0.717,        0.534,       0.0812,      0.00541
       763, 4962.743,    0.005,       5.0408e-05,        9.853e-08,       5.0506e-05,        0.167,        0.217,        0.131,        0.209,         0.17,        0.167,        0.264,        0.215,        0.112,      0.00746,       0.00032535,       5.1772e-08,       0.00032541,        0.362,        0.552,         0.23,        0.513,        0.372,         0.35,        0.717,        0.533,       0.0812,      0.00542
       764, 4969.482,    0.005,       5.8936e-05,       8.4048e-08,        5.902e-05,        0.181,        0.235,        0.137,         0.23,        0.184,        0.174,         0.29,        0.232,        0.102,      0.00681,       0.00032558,       5.2093e-08,       0.00032564,        0.362,        0.553,         0.23,        0.513,        0.372,         0.35,        0.717,        0.534,       0.0815,      0.00544
       765, 4976.449,    0.005,       5.4227e-05,       1.1586e-07,       5.4343e-05,        0.173,        0.225,        0.135,        0.217,        0.176,        0.174,        0.273,        0.223,        0.134,      0.00892,        0.0003258,       5.2324e-08,       0.00032585,        0.362,        0.553,         0.23,        0.513,        0.372,         0.35,        0.717,        0.534,       0.0815,      0.00543
       766, 4983.192,    0.005,       5.0943e-05,       6.4792e-08,       5.1008e-05,        0.167,        0.219,        0.131,        0.207,        0.169,        0.169,        0.264,        0.217,       0.0927,      0.00618,       0.00032528,       5.1938e-08,       0.00032533,        0.362,        0.552,         0.23,        0.513,        0.371,         0.35,        0.717,        0.533,       0.0811,      0.00541
       767, 4989.437,    0.005,       5.4481e-05,       7.9099e-08,        5.456e-05,        0.172,        0.226,         0.13,         0.22,        0.175,        0.166,        0.279,        0.223,       0.0985,      0.00657,       0.00032465,       5.1656e-08,        0.0003247,        0.362,        0.552,         0.23,        0.512,        0.371,         0.35,        0.716,        0.533,       0.0809,       0.0054
       768, 4995.796,    0.005,       5.4815e-05,       7.6302e-08,       5.4892e-05,        0.172,        0.227,         0.13,        0.221,        0.175,        0.168,        0.279,        0.224,        0.106,       0.0071,       0.00032429,       5.1708e-08,       0.00032435,        0.362,        0.551,         0.23,        0.512,        0.371,         0.35,        0.715,        0.533,       0.0812,      0.00541
       769, 5002.156,    0.005,       5.0638e-05,       9.4005e-08,       5.0732e-05,        0.167,        0.218,        0.131,        0.209,         0.17,        0.167,        0.264,        0.216,        0.115,      0.00769,       0.00032441,       5.1814e-08,       0.00032446,        0.362,        0.552,         0.23,        0.512,        0.371,         0.35,        0.715,        0.533,       0.0815,      0.00543
       770, 5008.435,    0.005,       5.7361e-05,       1.1689e-07,       5.7478e-05,        0.177,        0.232,        0.131,        0.229,         0.18,        0.168,        0.288,        0.228,        0.133,      0.00888,       0.00032428,       5.1039e-08,       0.00032433,        0.361,        0.551,         0.23,        0.512,        0.371,         0.35,        0.715,        0.533,       0.0809,      0.00539
       771, 5014.895,    0.005,       5.2082e-05,       2.1291e-07,       5.2295e-05,        0.168,        0.221,        0.132,        0.209,        0.171,         0.17,        0.268,        0.219,        0.172,       0.0115,        0.0003241,       5.1578e-08,       0.00032415,        0.361,        0.551,         0.23,        0.512,        0.371,         0.35,        0.715,        0.532,       0.0814,      0.00542
       772, 5021.117,    0.005,       5.6888e-05,       8.5236e-08,       5.6974e-05,        0.177,        0.231,        0.141,        0.217,        0.179,        0.182,        0.277,        0.229,        0.113,      0.00756,       0.00032411,       5.1373e-08,       0.00032416,        0.361,        0.551,         0.23,        0.511,        0.371,         0.35,        0.715,        0.532,       0.0812,      0.00541
       773, 5027.469,    0.005,       6.2922e-05,       1.3171e-07,       6.3054e-05,        0.186,        0.243,        0.146,        0.232,        0.189,        0.187,        0.294,        0.241,        0.138,      0.00923,       0.00032334,       5.0593e-08,       0.00032339,        0.361,        0.551,         0.23,        0.511,         0.37,         0.35,        0.714,        0.532,       0.0807,      0.00538
       774, 5033.835,    0.005,       6.0578e-05,        1.868e-07,       6.0765e-05,        0.182,        0.238,        0.137,        0.233,        0.185,        0.176,        0.294,        0.235,        0.162,       0.0108,        0.0003231,       5.1048e-08,       0.00032316,        0.361,         0.55,         0.23,         0.51,         0.37,        0.349,        0.714,        0.532,       0.0808,      0.00539
       775, 5040.114,    0.005,       5.1641e-05,       6.9685e-08,       5.1711e-05,        0.169,         0.22,        0.133,         0.21,        0.172,        0.171,        0.266,        0.218,       0.0975,       0.0065,       0.00032257,       5.0947e-08,       0.00032262,         0.36,         0.55,         0.23,         0.51,         0.37,        0.349,        0.713,        0.531,       0.0807,      0.00538
       776, 5046.566,    0.005,       5.7515e-05,       1.3134e-07,       5.7647e-05,        0.176,        0.232,        0.134,        0.223,        0.179,        0.172,        0.286,        0.229,        0.132,       0.0088,       0.00032261,       5.0982e-08,       0.00032266,        0.361,         0.55,         0.23,         0.51,         0.37,         0.35,        0.713,        0.531,       0.0809,       0.0054
       777, 5052.954,    0.005,       6.6059e-05,       1.4499e-07,       6.6204e-05,        0.184,        0.249,        0.135,        0.239,        0.187,        0.175,        0.313,        0.244,        0.144,      0.00962,       0.00032252,       5.0576e-08,       0.00032257,        0.361,         0.55,         0.23,         0.51,         0.37,        0.349,        0.713,        0.531,       0.0805,      0.00536
       778, 5059.278,    0.005,       6.7335e-05,       3.8679e-07,       6.7722e-05,        0.193,        0.251,        0.147,        0.245,        0.196,        0.186,         0.31,        0.248,        0.233,       0.0155,       0.00032268,       5.0411e-08,       0.00032273,        0.361,         0.55,         0.23,         0.51,         0.37,         0.35,        0.713,        0.531,       0.0804,      0.00536
       779, 5065.676,    0.005,       7.8461e-05,       2.3934e-07,         7.87e-05,        0.206,        0.271,         0.15,         0.27,         0.21,        0.191,         0.34,        0.266,        0.179,       0.0119,       0.00032299,        5.022e-08,       0.00032304,        0.361,         0.55,         0.23,         0.51,         0.37,         0.35,        0.713,        0.532,       0.0805,      0.00537
       780, 5071.898,    0.005,       7.3088e-05,       1.9959e-07,       7.3288e-05,        0.199,        0.262,        0.146,         0.26,        0.203,        0.184,        0.329,        0.256,        0.163,       0.0109,       0.00032293,       5.0554e-08,       0.00032298,        0.361,         0.55,         0.23,        0.511,         0.37,         0.35,        0.713,        0.532,       0.0808,      0.00539
       781, 5078.275,    0.005,       7.3326e-05,       2.0773e-07,       7.3534e-05,        0.197,        0.262,        0.141,         0.26,        0.201,         0.18,        0.332,        0.256,         0.16,       0.0107,       0.00032275,       4.9687e-08,        0.0003228,         0.36,         0.55,        0.229,         0.51,         0.37,         0.35,        0.713,        0.531,       0.0801,      0.00534
       782, 5084.636,    0.005,       9.4057e-05,       3.3339e-07,       9.4391e-05,        0.226,        0.297,        0.163,        0.298,         0.23,        0.207,        0.374,        0.291,        0.231,       0.0154,         0.000322,       4.9514e-08,       0.00032205,         0.36,        0.549,        0.229,         0.51,         0.37,        0.349,        0.713,        0.531,       0.0801,      0.00534
       783, 5091.112,    0.005,       6.7221e-05,       9.2427e-08,       6.7314e-05,        0.191,        0.251,        0.142,        0.246,        0.194,        0.182,        0.312,        0.247,        0.116,      0.00775,       0.00032212,       4.9569e-08,       0.00032217,         0.36,         0.55,        0.229,        0.511,         0.37,        0.348,        0.713,        0.531,       0.0801,      0.00534
       784, 5098.251,    0.005,       5.5785e-05,       1.9536e-07,        5.598e-05,        0.174,        0.229,        0.139,        0.214,        0.177,        0.178,        0.275,        0.227,        0.168,       0.0112,       0.00032216,       4.9666e-08,       0.00032221,         0.36,         0.55,        0.229,         0.51,         0.37,        0.348,        0.713,        0.531,       0.0799,      0.00533
       785, 5105.582,    0.005,       6.3119e-05,       2.4351e-07,       6.3363e-05,        0.188,        0.243,        0.154,        0.226,         0.19,        0.198,        0.287,        0.242,        0.191,       0.0127,       0.00032189,       4.9806e-08,       0.00032194,         0.36,        0.549,        0.229,         0.51,         0.37,        0.348,        0.713,        0.531,         0.08,      0.00534
       786, 5112.453,    0.005,       5.6405e-05,       1.1011e-07,       5.6515e-05,        0.177,         0.23,        0.143,        0.215,        0.179,        0.183,        0.274,        0.229,        0.123,      0.00818,       0.00032209,       4.9875e-08,       0.00032214,         0.36,         0.55,        0.229,         0.51,         0.37,        0.348,        0.713,        0.531,       0.0798,      0.00532
       787, 5119.506,    0.005,       4.8744e-05,       2.3655e-07,       4.8981e-05,        0.164,        0.214,         0.13,        0.202,        0.166,        0.167,        0.257,        0.212,        0.187,       0.0125,       0.00032206,       5.0189e-08,       0.00032211,         0.36,         0.55,        0.229,         0.51,        0.369,        0.349,        0.713,        0.531,       0.0801,      0.00534
       788, 5126.335,    0.005,       5.0024e-05,       1.4255e-07,       5.0167e-05,        0.164,        0.217,        0.133,          0.2,        0.166,         0.17,         0.26,        0.215,        0.141,      0.00938,       0.00032177,       4.9724e-08,       0.00032182,         0.36,        0.549,        0.229,         0.51,        0.369,        0.349,        0.712,        0.531,       0.0798,      0.00532
       789, 5133.339,    0.005,       4.9783e-05,       4.6857e-08,        4.983e-05,        0.165,        0.216,         0.13,        0.206,        0.168,        0.166,        0.262,        0.214,       0.0814,      0.00543,       0.00032123,       4.9629e-08,       0.00032128,         0.36,        0.549,        0.229,        0.509,        0.369,        0.348,        0.712,         0.53,       0.0798,      0.00532
       790, 5140.149,    0.005,       5.0257e-05,       7.4265e-08,       5.0331e-05,        0.167,        0.217,        0.134,        0.206,         0.17,        0.171,         0.26,        0.215,        0.107,      0.00711,       0.00032092,       4.9935e-08,       0.00032097,        0.359,        0.549,        0.229,        0.509,        0.369,        0.348,        0.711,         0.53,       0.0802,      0.00535
       791, 5146.843,    0.005,       8.3839e-05,       1.5929e-07,       8.3999e-05,        0.213,         0.28,         0.16,        0.273,        0.217,        0.204,        0.348,        0.276,         0.15,      0.00998,       0.00032075,       5.0002e-08,        0.0003208,        0.359,        0.548,        0.229,        0.509,        0.369,        0.349,        0.711,         0.53,       0.0801,      0.00534
       792, 5153.695,    0.005,       8.7233e-05,       1.9843e-07,       8.7432e-05,        0.215,        0.286,        0.155,        0.283,        0.219,        0.198,        0.361,         0.28,        0.162,       0.0108,       0.00032074,       5.0014e-08,       0.00032079,        0.359,        0.548,        0.229,        0.509,        0.369,        0.349,        0.711,         0.53,         0.08,      0.00533
       793, 5160.185,    0.005,       6.3765e-05,       2.5295e-07,       6.4018e-05,        0.187,        0.245,        0.144,        0.237,        0.191,        0.185,        0.299,        0.242,        0.199,       0.0132,       0.00032095,       5.0101e-08,         0.000321,        0.359,        0.549,        0.229,        0.509,        0.369,        0.349,        0.711,         0.53,       0.0799,      0.00533
       794, 5167.037,    0.005,       5.6402e-05,       6.1091e-08,       5.6463e-05,        0.177,         0.23,        0.139,        0.221,         0.18,        0.177,        0.279,        0.228,       0.0935,      0.00623,       0.00032081,       4.9946e-08,       0.00032086,        0.359,        0.548,        0.229,        0.508,        0.369,        0.349,        0.711,         0.53,         0.08,      0.00533
       795, 5173.790,    0.005,       5.4479e-05,       1.7057e-07,        5.465e-05,        0.172,        0.226,        0.131,        0.219,        0.175,        0.168,        0.278,        0.223,        0.158,       0.0105,       0.00032084,       5.0582e-08,       0.00032089,         0.36,        0.548,        0.229,        0.509,        0.369,        0.348,        0.711,         0.53,       0.0802,      0.00535
