epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        11,   64.733,    0.005,        0.0064786,         1.32e-05,        0.0064918,         1.84,         2.46,         1.49,         2.25,         1.87,         1.96,         2.94,         2.45,         1.37,       0.0914,        0.0068858,       4.2591e-06,        0.0068901,          1.9,         2.54,         1.64,         2.19,         1.91,         2.22,         2.86,         2.54,        0.726,       0.0484
        12,   70.470,    0.005,        0.0061403,       4.1891e-05,        0.0061822,          1.8,          2.4,         1.45,          2.2,         1.82,          1.9,         2.86,         2.38,         2.36,        0.157,        0.0062916,       4.0213e-06,        0.0062956,         1.81,         2.43,         1.54,         2.11,         1.82,         2.11,         2.75,         2.43,        0.679,       0.0453
        13,   76.270,    0.005,        0.0059548,       1.4687e-05,        0.0059695,         1.77,         2.36,         1.38,         2.22,          1.8,         1.82,         2.86,         2.34,         1.46,       0.0974,        0.0058044,       3.3702e-06,        0.0058078,         1.73,         2.33,         1.47,         2.03,         1.75,         2.03,         2.64,         2.33,        0.641,       0.0427
        14,   82.107,    0.005,        0.0059035,        2.429e-05,        0.0059278,         1.76,         2.35,         1.33,         2.26,         1.79,         1.73,         2.91,         2.32,         1.98,        0.132,        0.0053857,       2.9554e-06,        0.0053886,         1.66,         2.25,          1.4,         1.96,         1.68,         1.94,         2.55,         2.25,          0.6,         0.04
        15,   87.748,    0.005,         0.005958,       5.7068e-05,         0.006015,         1.73,         2.36,          1.3,         2.21,         1.76,         1.73,         2.93,         2.33,         2.42,        0.161,        0.0050593,       3.2023e-06,        0.0050625,         1.61,         2.18,         1.34,         1.91,         1.63,         1.86,         2.49,         2.18,        0.595,       0.0396
        16,   93.493,    0.005,        0.0060672,       4.2687e-05,        0.0061099,         1.77,         2.39,         1.29,         2.32,          1.8,          1.7,         2.98,         2.34,         2.46,        0.164,        0.0047736,       2.4553e-06,         0.004776,         1.55,         2.12,         1.28,         1.86,         1.57,          1.8,         2.43,         2.11,        0.535,       0.0357
        17,   99.133,    0.005,        0.0042099,       1.8212e-05,        0.0042281,         1.48,         1.99,         1.15,         1.86,          1.5,         1.51,         2.42,         1.96,         1.65,         0.11,         0.004514,       2.2457e-06,        0.0045163,         1.51,         2.06,         1.24,         1.81,         1.53,         1.74,         2.37,         2.05,        0.508,       0.0339
        18,  104.804,    0.005,        0.0042494,       4.0778e-05,        0.0042901,         1.48,            2,         1.17,         1.83,          1.5,         1.54,         2.41,         1.98,         2.49,        0.166,        0.0042556,       2.0843e-06,        0.0042577,         1.46,            2,         1.19,         1.77,         1.48,         1.68,          2.3,         1.99,        0.482,       0.0321
        19,  110.532,    0.005,         0.005163,       2.9674e-05,        0.0051927,         1.64,          2.2,         1.21,         2.14,         1.68,         1.59,         2.74,         2.16,         1.99,        0.132,        0.0040437,       1.8694e-06,        0.0040456,         1.42,         1.95,         1.15,         1.74,         1.44,         1.63,         2.26,         1.94,        0.457,       0.0305
        20,  116.371,    0.005,        0.0038043,        4.341e-05,        0.0038478,         1.41,         1.89,          1.1,         1.78,         1.44,         1.44,          2.3,         1.87,          2.5,        0.167,        0.0038747,       1.9052e-06,        0.0038766,         1.39,         1.91,         1.12,          1.7,         1.41,         1.59,         2.21,          1.9,        0.451,         0.03
        21,  122.183,    0.005,        0.0038886,       4.4148e-05,        0.0039327,         1.44,         1.91,         1.12,         1.81,         1.46,         1.45,         2.33,         1.89,         2.46,        0.164,        0.0036979,       1.6634e-06,        0.0036995,         1.35,         1.86,         1.08,         1.66,         1.37,         1.54,         2.17,         1.86,        0.422,       0.0281
        22,  127.820,    0.005,        0.0042656,        4.607e-05,        0.0043117,         1.49,            2,         1.08,         1.95,         1.51,         1.41,         2.51,         1.96,         2.65,        0.177,        0.0035657,       1.4923e-06,        0.0035672,         1.32,         1.83,         1.05,         1.63,         1.34,         1.51,         2.13,         1.82,         0.43,       0.0287
        23,  133.653,    0.005,        0.0045405,       2.0164e-05,        0.0045606,         1.54,         2.06,         1.09,         2.05,         1.57,         1.41,         2.61,         2.01,         1.85,        0.123,        0.0034248,       1.6116e-06,        0.0034264,         1.29,         1.79,         1.02,          1.6,         1.31,         1.47,          2.1,         1.79,        0.402,       0.0268
        24,  139.547,    0.005,        0.0033522,       4.7491e-05,        0.0033996,         1.31,         1.77,        0.947,         1.72,         1.34,         1.24,         2.23,         1.74,         2.66,        0.177,        0.0033093,       1.4085e-06,        0.0033107,         1.27,         1.76,            1,         1.58,         1.29,         1.44,         2.07,         1.75,        0.384,       0.0256
        25,  145.451,    0.005,        0.0031763,       3.0464e-05,        0.0032068,         1.28,         1.73,        0.954,         1.66,         1.31,         1.26,         2.14,          1.7,         2.13,        0.142,        0.0031861,       1.2565e-06,        0.0031873,         1.25,         1.73,        0.978,         1.55,         1.27,         1.41,         2.03,         1.72,        0.384,       0.0256
        26,  151.266,    0.005,        0.0027062,       6.8239e-06,         0.002713,         1.18,         1.59,        0.928,         1.47,          1.2,         1.22,         1.93,         1.58,        0.995,       0.0663,        0.0030743,       1.2158e-06,        0.0030756,         1.22,          1.7,        0.957,         1.52,         1.24,         1.38,            2,         1.69,        0.373,       0.0248
        27,  156.903,    0.005,        0.0024953,       2.1719e-05,         0.002517,         1.13,         1.53,         0.84,         1.45,         1.15,         1.11,          1.9,          1.5,         1.79,         0.12,        0.0029695,       1.1686e-06,        0.0029707,          1.2,         1.67,        0.938,          1.5,         1.22,         1.35,         1.97,         1.66,         0.36,        0.024
